iter	Passed	Remaining
413	2801	3965
414	2807	3957
415	2813	3949
416	2819	3941
417	2825	3934
418	2832	3927
419	2838	3919
420	2844	3912
421	2851	3905
422	2857	3897
423	2863	3889
424	2869	3881
425	2874	3873
426	2880	3865
427	2886	3857
428	2892	3850
429	2898	3841
430	2906	3836
431	2913	3830
432	2920	3824
433	2926	3816
434	2933	3809
435	2938	3801
436	2944	3793
437	2949	3784
438	2955	3777
439	2962	3770
440	2967	3761
441	2974	3754
442	2980	3747
443	2986	3739
444	2991	3731
445	2998	3724
446	3003	3715
447	3010	3708
448	3015	3700
449	3021	3692
450	3027	3685
451	3033	3677
452	3038	3669
453	3045	3662
454	3051	3654
455	3056	3646
456	3062	3638
457	3068	3630
458	3073	3622
459	3079	3614
460	3085	3607
461	3091	3600
462	3097	3592
463	3103	3584
464	3109	3578
465	3115	3570
466	3121	3562
467	3126	3554
468	3132	3546
469	3139	3540
470	3145	3532
471	3151	3524
472	3157	3517
473	3162	3509
474	3167	3501
475	3173	3493
476	3179	3485
477	3184	3477
478	3189	3469
479	3195	3461
480	3201	3454
481	3207	3447
482	3213	3439
483	3219	3432
484	3226	3425
485	3232	3418
486	3238	3411
487	3244	3403
488	3250	3396
489	3256	3389
490	3262	3382
491	3269	3375
492	3275	3368
493	3281	3361
494	3287	3354
495	3293	3346
496	3298	3338
497	3305	3331
498	3311	3324
499	3317	3317
500	3323	3310
501	3329	3302
502	3335	3295
503	3341	3288
504	3346	3280
505	3352	3273
506	3359	3266
507	3365	3259
508	3371	3251
509	3376	3244
510	3381	3236
511	3387	3228
512	3393	3221
513	3398	3213
514	3404	3205
515	3409	3197
516	3414	3190
517	3420	3182
518	3426	3175
519	3431	3167
520	3437	3160
521	3443	3153
522	3449	3146
523	3455	3138
524	3460	3131
525	3466	3124
526	3471	3116
527	3477	3108
528	3483	3101
529	3489	3094
530	3496	3087
531	3502	3081
532	3508	3073
533	3513	3066
534	3519	3059
535	3525	3051
536	3531	3044
537	3537	3037
538	3543	3030
539	3549	3023
540	3555	3016
541	3561	3009
542	3567	3002
543	3574	2996
544	3581	2990
545	3588	2984
546	3596	2978
547	3603	2971
548	3610	2966
549	3618	2960
550	3625	2954
551	3632	2947
552	3640	2942
553	3648	2937
554	3655	2931
555	3662	2924
556	3670	2919
557	3678	2913
558	3686	2908
559	3694	2903
560	3701	2896
561	3708	2890
562	3716	2884
563	3722	2877
564	3729	2871
565	3737	2865
566	3744	2859
567	3750	2852
568	3756	2845
569	3763	2839
570	3770	2833
571	3779	2827
572	3786	2821
573	3793	2815
574	3800	2809
575	3806	2802
576	3812	2795
577	3818	2787
578	3823	2780
579	3830	2773
580	3836	2766
581	3842	2759
582	3848	2752
583	3854	2745
584	3860	2738
585	3866	2731
586	3871	2724
587	3877	2717
588	3883	2710
589	3890	2703
590	3896	2696
591	3902	2689
592	3907	2682
593	3914	2675
594	3919	2668
595	3925	2660
596	3931	2654
597	3936	2646
598	3942	2639
599	3948	2632
600	3953	2624
601	3959	2617
602	3965	2610
603	3971	2603
604	3977	2596
605	3983	2589
606	3989	2583
607	3996	2576
608	4001	2569
609	4007	2562
610	4014	2555
611	4020	2548
612	4025	2541
613	4031	2534
614	4037	2527
615	4043	2520
616	4048	2513
617	4055	2506
618	4060	2499
619	4066	2492
620	4073	2486
621	4080	2479
622	4085	2472
623	4090	2465
624	4096	2458
625	4102	2450
626	4108	2443
627	4114	2436
628	4120	2430
629	4126	2423
630	4132	2416
631	4139	2410
632	4145	2403
633	4150	2396
634	4156	2389
635	4162	2382
636	4168	2375
637	4173	2368
638	4179	2361
639	4185	2354
640	4191	2347
641	4197	2340
642	4203	2333
643	4208	2326
644	4214	2319
645	4240	2323
646	4266	2327
647	4286	2328
